,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,1996-09-28,36,28 36 46.1,24 49 31.1,1,G20324,"M, G, Y","B, B, Y",3700,235,53,35336,1996-08-06,1996-06-11,,,,,,
,1996-09-28,37,28 37 28.4,24 50 24.3,6,,,,,,,,,,,,,,,
,1996-09-28,38,28 37 46.5,24 50 01.1,1,G20319,"M, G, Y","B, W, Y",2800,144,39,35336,1996-08-20,1996-06-25,,,,,,
,1996-09-28,39,28 37 48.3,24 49 59.3,1,G20320,"M, G, Y","G, W, Y",3800,230,52,35336,1996-08-07,1996-06-12,,,,,,
,1996-09-28,40,28 37 47.1,24 49 40.1,1,G20323,"M, G, Y","R, W, Y",3800,250,56,35336,1996-08-03,1996-06-08,,,,,,
,1996-09-28,41,28 37 25.5,24 51 45.6,5,,,,,,,,,,,,,,,
,1996-09-28,42,28 37 31.7,24 51 41.4,6,,,,,,,,,,,,,,,
,1996-09-28,43,28 37 44.0,24 51 36.5,6,,,,,,,,,,,,,,,
,1996-09-28,45,28 39 02.5,24 51 10.5,2,,,,,,,,,,,,,,,
,1996-09-28,46,28 39 27.3,24 51 03.5,1,G19872,"M, G, Y","W, W, Y",5500,440,83,35336,1996-07-07,1996-05-12,,,,,,
,1996-09-28,47,28 39 38.2,24 49 24.4,1,G19887,"M, G, Y","R, R, Y",5500,415,79,35336,1996-07-11,1996-05-16,,,,,,
,1996-09-28,48,28 39 37.0,24 49 27.3,1,G19875,"M, G, Y","W, B, Y",5200,350,70,35336,1996-07-20,1996-05-25,,,,,,
,1996-09-28,49,28 39 25.6,24 49 39.3,5,,,,,,,,,,,,,,,
,1996-09-28,50,28 39 31.3,24 49 28.8,1,G19886,"M, G, Y","Y, Y, Y",5950,465,87,35336,1996-07-03,1996-05-08,,,,,,
,1996-09-28,52,28 39 22.3,24 47 31.8,15,,,,,,,,,,,,,,,
,1996-09-29,54,"28 39 46,8","24 47 54,2",1,G19869,"M, G, Y","B, B, R",2650,180,45,35337,1996-08-15,1996-06-20,,,,,,
,1996-09-29,56,28 41 06.0,24 48 22.3,6,,,,,,,,,,,,,,,
,1996-09-29,60,28 39 38.2,24 50 02.9,6,,,,,,,,,,,,,,,
,1996-09-28,63,28 37 59.9,24 50 01.1,1,G20322,"M, G, Y","Y, W, Y",2800,145,39,35336,1996-08-20,1996-06-25,,,,,,
,1996-09-28,64,28 36 51.9,24 49 51.0,1,G20325,"M, G, Y","Y, B, Y",4500,290,61,35336,1996-07-29,1996-06-03,,,,,,
,1996-09-28,66,28 37 50.7,24 51 31.0,6,,,,,,,,,,,,,,,
,1996-09-28,68,28 38 54.9,24 50 17.2,1,G19873,"M, G, Y","G, B, Y",4300,265,58,35336,1996-08-01,1996-06-06,,,,,,
,1996-09-28,70,28 38 55.7,24 49 59.6,6,,,,,,,,,,,,,,,
,1996-09-28,72,28 39 20.9,24 49 40.5,1,G19874,"M, G, Y","R, B, Y",4700,375,73,35336,1996-07-17,1996-05-22,,,,,,
,1996-09-28,73,28 39 26.5,24 49 28.7,5,,,,,,,,,,,,,,,
,1996-09-28,74,28 39 33.3,24 49 46.4,6,,,,,,,,,,,,,,,
,1996-09-28,75,28 39 22.2,24 49 19.1,1,G19888,"M, G, Y","B, Y, Y",5600,410,79,35336,1996-07-11,1996-05-16,,,,,,
,1996-09-28,80,"28 39 07,5","24 47 35,3",5,,,,,,,,,,,,,,,
,1996-09-28,82,28 39 40.3,24 47 39.0,6,,,,,,,,,,,,,,,
,1996-09-28,84,28 39 07.7,24 48 37.5,6,,,,,,,,,,,,,,,
,1996-09-28,86,?,?,1,G19883,"M, G, Y","Y, W, R",3850,240,54,35336,1996-08-05,1996-06-10,,,,,,
,1996-09-28,89,28 41 00.0,24 47 45.8,1,G19885,"M, G, Y","W, W, R",2750,150,40,35336,1996-08-19,1996-06-24,,,,,,
,1996-09-28,90,28 41 21.0,24 48 42.1,6,,,,,,,,,,,,,,,
,1996-09-28,91,28 40 18.7,24 49 24.2,2,,,,650,42,10,35336,1996-09-18,1996-07-24,,,,,,
,1996-09-29,97,28 40 05.5,24 49 04.0,1,G19893,"M, G, Y","W, B, R",3250,215,49,35337,1996-08-11,1996-06-16,,,,,,
,1996-09-29,98,28 40 13.7,24 48 39.1,2,,,,650,32,8,35337,1996-09-21,1996-07-27,,,,,,
,1996-09-29,99,28 39 56.1,24 48 41.6,1,G19894,"M, G, Y","B, Y, R",4800,400,77,35337,1996-07-14,1996-05-19,,,,,,
