,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,1997-10-04,17,28 40 46.6,24 47 58.6,1,G21295,"M, G, Y","B, W, W",3600,360,72,35707,1997-07-24,1997-05-29,,,,,,
,1997-10-04,18,28 40 55.9,24 48 06.6,16,,,,,95,31,35707,1997-09-03,1997-07-09,,,,,,
,1997-10-04,19,28 41 05.8,24 48 16.2,5,,,,,,,,,,,,,,,
,1997-10-04,20,28 40 57.1,24 48 13.0,1,G21296,"M, G, Y","B, B, B",4900,345,69,35707,1997-07-27,1997-06-01,,,,,,
,1997-10-05,25,28 41 10.6,24 48 48.8,5,,,,,,,,,,,,,,,
,1997-10-05,26,28 41 18.7,24 48 50.0,1,G21297,"M, G, Y","G, B, B",4100,350,70,35708,1997-07-27,1997-06-01,,,,,,
,1997-10-05,27,28 41 04.9,24 48 58.3,1,G21299,"M, G, Y","R, B, B",5400,440,83,35708,1997-07-14,1997-05-19,,,,,,
,1997-10-04,34,28 41 06.9,24 49 14.5,1,G19876,"M, G, Y","Y, Y, R",3650,375,73,35707,1997-07-23,1997-05-28,,,,,,
,1997-10-04,35,28 41 10.0,24 49 13.8,1,G19877,"M, G, Y","R, Y, R",4500,410,79,35707,1997-07-17,1997-05-22,,,,,,
,1997-10-04,36,28 36 46.1,24 49 31.1,1,G20294,"M, G, Y","R, W, G",4300,320,65,35707,1997-07-31,1997-06-05,,,,,,
,1997-10-04,37,28 37 28.4,24 50 24.3,1,G20296,"M, G, Y","B, B, G",4900,410,79,35707,1997-07-17,1997-05-22,,,,,,
,1997-10-04,38,28 37 46.3,24 50 00.5,1,G20300,"M, G, Y","W, B, G",4200,240,54,35707,1997-08-11,1997-06-16,,,,,,
,1997-10-04,39,28 37 48.3,24 49 59.3,1,G20299,"M, G, Y","R, B, G",3700,300,62,35707,1997-08-03,1997-06-08,,,,,,
,1997-10-05,43,28 37 44.0,24 51 36.5,1,G20304,"M, G, Y","R, Y, G",4900,475,89,35708,1997-07-08,1997-05-13,,,,,,
,1997-10-05,46,28 39 27.3,24 51 03.5,6,,,,,,,,,,,,,,,
,1997-10-05,48,28 39 37.0,24 49 27.3,1,G20281,"M, G, Y","Y, G, G",4250,320,65,35708,1997-08-01,1997-06-06,,,,,,
,1997-10-05,50,28 39 31.3,24 49 28.8,1,G20286,"M, G, Y","Y, R, R",4450,356,71,35708,1997-07-26,1997-05-31,,,,,,
,1997-10-04,52,28 39 22.6,24 47 31.3,1,G21293,"M, G, Y","Y, W, B",2500,390,76,35707,1997-07-20,1997-05-25,,,,,,
,1997-10-05,60,28 39 38.2,24 50 02.9,1,G20308,"M, G, Y","W, G, G",4350,380,74,35708,1997-07-23,1997-05-28,,,,,,
,1997-10-04,64,28 36 51.9,24 49 51.0,1,G20295,"M, G, Y","W, W, G",3600,310,64,35707,1997-08-01,1997-06-06,,,,,,
,1997-10-05,66,28 37 50.7,24 51 31.0,6,,,,,,,,,,,,,,,
,1997-10-04,68,28 38 54.9,24 50 17.2,1,G20302,"M, G, Y","G, Y, G",4500,320,65,35707,1997-07-31,1997-06-05,,,,,,
,1997-10-04,70,28 38 55.7,24 49 59.6,1,G20303,"M, G, Y","Y, Y, G",5500,430,81,35707,1997-07-15,1997-05-20,,,,,,
,1997-10-05,72,28 39 20.9,24 49 40.5,1,G20288,"M, G, Y","W, R, R",5500,470,88,35708,1997-07-09,1997-05-14,,,,,,
,1997-10-05,75,28 39 22.2,24 49 19.1,1,G20287,"M, G, Y","R, R, R",6100,480,90,35708,1997-07-07,1997-05-12,,,,,,
,1997-10-04,76,28 41 00.6,24 49 41.1,5,,,,,,,,,,,,,,,
,1997-10-05,82,28 39 40.3,24 45 39.0,1,G21300,"M, G, Y","W, B, B",2900,210,49,35708,1997-08-17,1997-06-22,,,,,,
,1997-10-05,90,28 41 21.0,24 48 42.1,1,G21298,"M, G, Y","Y, B, B",5400,420,80,35708,1997-07-17,1997-05-22,,,,,,
,1997-10-05,95,28 40 29.8,24 50 18.6,1,G20307,"M, G, Y","G, G, G",4900,400,77,35708,1997-07-20,1997-05-25,,,,,,
,1997-10-05,97,28 40 05.5,24 49 04.0,1,G20282,"M, G, Y","R, G, R",4100,330,67,35708,1997-07-30,1997-06-04,,,,,,
,1997-10-05,98,28 40 13.7,24 48 39.1,1,G19900,"M, G, Y","Y, G, R",4000,272,59,35708,1997-08-07,1997-06-12,,,,,,
,1997-10-05,99,28 39 56.1,24 48 41.6,1,G20285,"M, G, Y","G, R, R",4900,440,83,35708,1997-07-14,1997-05-19,,,,,,
,1997-10-05,100,28 39 53.0,24 49 02.0,1,G20284,"M, G, Y","B, R, R",4250,320,65,35708,1997-08-01,1997-06-06,,,,,,
,1997-10-04,101,28 41 19.8,24 49 21.3,1,G19878,"M, G, Y","W, Y, R",5400,440,83,35707,1997-07-13,1997-05-18,,,,,,
,1997-10-04,102,28 40 54.1,24 50 02.9,5,,,,,,,,,,,,,,,
,1997-10-04,103,28 40 57.8,24 49 59.8,1,G19879,"M, G, Y","B, G, R",3200,200,48,35707,1997-08-17,1997-06-22,,,,,,
,1997-10-04,104,28 40 33.3,24 48 57.4,1,G20309,"M, G, Y","B, R, G",4300,410,79,35707,1997-07-17,1997-05-22,,,,,,
,1997-10-04,105,28 40 31.2,24 48 51.8,1,G19880,"M, G, Y","G, G, R",4900,360,72,35707,1997-07-24,1997-05-29,,,,,,
,1997-10-05,106,28 40 00.4,24 49 07.0,1,G20283,"M, G, Y","W, G, R",3700,265,58,35708,1997-08-08,1997-06-13,,,,,,
,1997-10-04,124,28 33 27.0,24 52 01.7,1,G20291,"M, G, Y","B, W, G",4800,440,83,35707,1997-07-13,1997-05-18,,,,,,
,1997-10-04,129,28 33 11.0,24 51 06.4,6,,,,,,,,,,,,,,,
,1997-10-04,133,28 33 12.2,24 51 00.2,1,G20292,"M, G, Y","G, W, G",5000,400,77,35707,1997-07-19,1997-05-24,,,,,,
,1997-10-04,138,28 33 23.4,24 50 45.0,5,,,,,,,,,,,,,,,
,1997-10-04,140,28 33 27.9,24 50 42.7,5,,,,,,,,,,,,,,,
,1997-10-04,141,28 34 04.8,24 50 23.4,1,G20293,"M, G, Y","Y, W, G",3900,330,67,35707,1997-07-29,1997-06-03,,,,,,
,1997-10-04,142,28 34 02.2,24 50 36.1,6,,,,,,,,,,,,,,,
,1997-10-04,144,28 37 16.0,24 49 47.3,1,G20297,"M, G, Y","G, B, G",290,190,47,35707,1997-08-18,1997-06-23,,,,,,
,1997-10-04,145,28 37 52.0,24 49 41.3,1,G20298,"M, G, Y","Y, B, G",5300,360,72,35707,1997-07-24,1997-05-29,,,,,,
,1997-10-04,146,28 37 43.5,24 50 03.7,1,G20301,"M, G, Y","B, Y, G",5400,320,65,35707,1997-07-31,1997-06-05,,,,,,
,1997-10-04,151,28 39 37.5,24 47 50.5,1,G21292,"M, G, Y","G, W, B",3300,245,55,35707,1997-08-10,1997-06-15,,,,,,
,1997-10-04,153,28 40 22.8,24 47 27.7,15,,,,,,,,,,,,,,,
,1997-10-04,154,28 40 30.4,24 47 20.1,1,G21294,"M, G, Y","B, W, R",3500,315,64,35707,1997-08-01,1997-06-06,,,,,,
,1997-10-05,160,28 40 20.2,24 50 35.6,1,G20305,"M, G, Y","W, Y, G",5200,405,78,35708,1997-07-19,1997-05-24,,,,,,
,1997-10-05,163,28 39 35.3,24 49 47.8,1,G20289,"M, G, Y","R, G, G",4200,335,68,35708,1997-07-29,1997-06-03,,,,,,
,1997-10-05,176,28 40 47.2,24 48 03.6,5,,,,,,,,,,,,,,,
,1997-10-05,177,28 39 54.5,24 48 05.1,5,,,,,,,,,,,,,,,
,TOTALS,59,,,59,44,44,,4308,348,70,,1997-07-26,1997-05-31,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 03 to 04 October 1998 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,L top down,R top down ,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,1998-10-03,3,28 38 55.6,24 47 15.4,1,G21796,"M, G, Y","Y, G, G",4750,360,72,36071,1998-07-23,1998-05-28,,,,,,
,1998-10-04,4,28 40 27.0,24 50 29.2,16,Wing length of the dead chick,,,,130,,,,,,,,,,
,1998-10-03,8,28 39 12.4,24 47 15.3,2,,,,1950,93,32,36071,1998-09-01,1998-07-07,,,,,,
,1998-10-03,10,28 39 07.4,24 47 07.5,6,,,,,,,,,,,,,,,
,1998-10-04,15,28 39 54.6,24 47 23.9,5,,,,,,,,,,,,,,,
,1998-10-04,16,28 40 04.1,24 47 49.0,16,,,,,,,,,,,,,,,
,1998-10-04,19,28 41 05.8,24 48 16.2,1,G21795,"M, G, Y","G, R, Y",3300,230,52,36072,1998-08-13,1998-06-18,,,,,,
,1998-10-03,23,28 40 59.9,24 48 36.5,1,G21785,"M, G, Y","B, Y, R",5200,360,72,36071,1998-07-23,1998-05-28,,,,,,
,1998-10-03,25,28 41 10.6,24 48 48.8,1,G21784,"M, G, Y","B, Y, Y",6300,490,92,36071,1998-07-03,1998-05-08,,,,,,
,1998-10-03,26,28 41 18.7,24 48 50.0,1,G21786,"M, G, Y","B, Y, W",4100,300,62,36071,1998-08-02,1998-06-07,,,,,,
,1998-10-03,27,28 41 04.9,24 48 58.3,1,G21783,"M, G, Y","B, Y, G",5500,382,74,36071,1998-07-21,1998-05-26,,,,,,
,1998-10-03,32,28 41 05.9,24 49 44.9,5,,,,,,,,,,,,,,,
,1998-10-03,34,28 41 06.9,24 49 14.5,1,G21781,"M, G, Y","R, W, R",2900,150,40,36071,1998-08-24,1998-06-29,,,,,,
,1998-10-03,35,28 41 10.0,24 49 13.8,1,G21782,"M, G, Y","R, Y, B",5500,440,83,36071,1998-07-12,1998-05-17,,,,,,
,1998-10-03,37,28 37 28.4,24 50 24.3,1,G21779,"M, G, Y","R, B, W",4600,380,74,36071,1998-07-21,1998-05-26,,,,,,
,1998-10-03,39,28 37 48.3,24 49 59.3,5,,,,,,,,,,,,,,,
,1998-10-04,41,28 37 25.5,24 51 45.6,1,G21505,"M, G, Y","W, Y, W",5400,420,80,36072,1998-07-16,1998-05-21,,,,,,
,1998-10-04,46,28 39 27.3,24 51 03.5,6,,,,,,,,,,,,,,,
,1998-10-03,47,28 39 38.2,24 49 24.4,3,,,,,,,,,,,,,,,
,1998-10-03,48,28 39 37.0,24 49 27.3,1,G21789,"M, G, Y","B, G, Y",4400,295,61,36071,1998-08-03,1998-06-08,,,,,,
,1998-10-03,50,28 39 31.3,24 49 28.8,1,G21790,"M, G, Y","B, G, R",5600,450,84,36071,1998-07-11,1998-05-16,,,,,,
,1998-10-03,52,28 39 22.6,24 47 31.3,1,G21798,"M, G, Y","G, R, G",4500,315,64,36071,1998-07-31,1998-06-05,,,,,,
,1998-10-04,56,28 41 06.0,24 48 22.3,5,,,,,,,,,,,,,,,
,1998-10-04,58,28 39 12.3,24 50 12.5,1,G21788,"M, G, Y","B, G, G",5900,520,99,36072,1998-06-27,1998-05-02,,,,,,
,1998-10-04,60,28 39 38.2,24 50 02.9,1,G21752,"M, G, Y","B, R, B",4900,368,73,36072,1998-07-23,1998-05-28,,,,,,
,1998-10-03,63,28 37 59.9,24 50 01.1,1,G21501,"M, G, Y","B, Y, W",4900,370,73,36071,1998-07-22,1998-05-27,,,,,,
,1998-10-03,64,28 36 51.9,24 49 51.0,15,,,,,,,,,,,,,,,
,1998-10-04,66,28 37 50.7,24 51 31.0,1,G21507,"M, G, Y","B, R, W",3250,220,50,36072,1998-08-15,1998-06-20,,,,,,
,1998-10-03,68,28 38 54.9,24 50 17.2,1,G21504,"M, G, Y","R, Y, W",4400,325,66,36071,1998-07-29,1998-06-03,,,,,,
,1998-10-03,75,28 39 22.2,24 49 19.1,1,G21751,"M, G, Y","B, G, W",6300,450,84,36071,1998-07-11,1998-05-16,,,,,,
,1998-10-04,89,28 41 00.0,24 47 45.8,5,,,,,,,,,,,,,,,
,1998-10-03,90,28 41 21.0,24 48 42.1,1,G21787,"M, G, Y","B, G, B",5400,454,85,36071,1998-07-10,1998-05-15,,,,,,
,1998-10-03,91,28 40 18.7,24 49 24.2,6,,,,,,,,,,,,,,,
,1998-10-04,95,28 40 29.8,24 50 18.6,1,G21509,"M, G, Y","Y, R, W",6300,395,76,36072,1998-07-20,1998-05-25,,,,,,
,1998-10-03,99,28 39 56.1,24 48 41.6,1,G21791,"M, G, Y","W, R, G",5050,365,72,36071,1998-07-23,1998-05-28,,,,,,
,1998-11-03,103,28 40 57.8,24 49 59.8,15,,,,,,,,,,,,,,,
,1998-10-03,104,28 40 33.3,24 48 57.4,1,G21799,"M, G, Y","Y, R, G",4950,460,86,36071,1998-07-09,1998-05-14,,,,,,
,1998-10-03,106,28 40 00.4,24 49 07.0,1,G21800,"M, G, Y","R, R, G",4550,245,55,36071,1998-08-09,1998-06-14,,,,,,
,1998-10-04,121,28 38 53.9,24 50 10.1,5,,,,,,,,,,,,,,,
,1998-10-03,124,28 33 27.0,24 52 01.7,1,G21771,"M, G, Y","G, W, W",6100,485,91,36071,1998-07-04,1998-05-09,,,,,,
,1998-10-03,128,28 33 08.9,24 51 09.7,1,G21773,"M, G, Y","Y, W, W",5100,355,71,36071,1998-07-24,1998-05-29,,,,,,
,1998-10-03,133,28 33 12.2,24 51 00.2,1,G21774,"M, G, Y","R, W, W",435,323,66,36071,1998-07-29,1998-06-03,,,,,,
,1998-10-03,135,28 33 16.1,24 50 50.0,1,G21776,"M, G, Y","B, B, W",4250,330,67,36071,1998-07-28,1998-06-02,,,,,,
,1998-10-03,140,28 33 27.9,24 50 42.7,5,,,,,,,,,,,,,,,
,1998-10-03,142,28 34 02.2,24 50 36.1,6,,,,,,,,,,,,,,,
,1998-10-03,144,28 37 16.0,24 49 47.3,1,G21778,"M, G, Y","Y, B, W",4100,290,61,36071,1998-08-03,1998-06-08,,,,,,
,1998-10-03,145,28 37 52.0,24 49 41.3,1,G21502,"M, G, Y","G, Y, W",5900,450,84,36071,1998-07-11,1998-05-16,,,,,,
,1998-10-03,146,28 37 43.5,24 50 03.7,1,G21780,"M, G, Y","W, B, W",5000,385,75,36071,1998-07-20,1998-05-25,,,,,,
,1998-10-04,155,28 37 43.1,24 51 38.2,1,G21506,"M, G, Y","B, G, W",5200,475,89,36072,1998-07-07,1998-05-12,,,,,,
,1998-10-04,160,28 40 20.2,24 50 35.6,1,G21508,"M, G, Y","G, R, W",5150,345,69,36072,1998-07-27,1998-06-01,,,,,,
,1998-10-03,164,28 36 49.4,24 49 39.1,1,G21772,"M, G, Y","B, W, W",3100,230,52,36071,1998-08-12,1998-06-17,,,,,,
,1998-10-03,166,28 33 18.7,24 50 59.5,1,G21775,"M, G, Y","W, W, W",4750,350,70,36071,1998-07-25,1998-05-30,,,,,,
,1998-10-03,167,28 33 56.4,24 50 38.7,1,G21777,"M, G, Y","G, B, W",4300,326,66,36071,1998-07-29,1998-06-03,,,,,,
,1998-10-03,168,28 33 59.1,24 50 23.8,16,,,,,,,,,,,,,,,
,1998-10-03,169,28 33 59.4,24 50 11.8,2,,,,,,,,,,,,,,,
,1998-10-03,170,28 33 55.1,24 49 52.1,15,,,,,,,,,,,,,,,
,1998-10-03,171,28 37 38.0,24 50 05.8,2,,,,2000,125,37,36071,1998-08-27,1998-07-02,,,,,,
,1998-10-03,173,28 38 23.4,24 49 42.1,1,G21503,"M, G, Y","Y, Y, W",4800,375,73,36071,1998-07-22,1998-05-27,,,,,,
,1998-10-04,174,28 37 37.9,24 49 58.1,6,,,,,,,,,,,,,,,
,1998-10-04,177,28 39 54.5,24 48 05.1,1,G21793,"M, G, Y","W, G, Y",4500,250,56,36072,1998-08-09,1998-06-14,,,,,,
,1998-10-04,182,28 40 33.4,24 50 32.4,1,G21510,"M, G, Y","R, R, W",4800,405,78,36072,1998-07-18,1998-05-23,,,,,,
,1998-10-03,183,28 39 21.9,24 47 53.2,1,G21797,"M, G, Y","R, G, G",3600,200,48,36071,1998-08-16,1998-06-21,,,,,,
,1998-10-03,188,28 39 57.1,24 48 39.9,1,G21792,"M, G, Y","R, G, Y",4700,370,73,36071,1998-07-22,1998-05-27,,,,,,
,1998-10-04,191,28 39 55.8,24 48 34.0,16,,,,,,,,,,,,,,,
,1998-10-04,192,28 39 55.3,24 48 34.4,5,,,,,,,,,,,,,,,
,1998-10-04,194,28 41 11.6,24 47 50.1,1,G21794,"M, G, Y","B, R, Y",4550,340,69,36072,1998-07-27,1998-06-01,,,,,,
,TOTALS,66,,,66,43,42,,4596,342,69,,1998-07-25,1998-05-30,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 09 to 10 October 1999 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,L top down,R top down ,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,1999-10-10,3,"28 38 55,5","24 47 15,2",1,G22061,"M, G, Y","W, Y, B",5200,460,86,36443,1999-07-16,1999-05-21,,,,,,
,1999-10-09,8,28 39 12.4,24 47 15.3,16,,,,,,,,,,,,,,,
,1999-10-09,9,28 39 05.7,24 47 21.7,5,,,,,,,,,,,,,,,
,1999-10-10,12,28 39 27.1,24 47 41.1,1,G22062,"M, G, Y","G, G, B",3800,330,67,36443,1999-08-04,1999-06-09,,,,,,
,1999-10-09,16,28 40 04.1,24 47 49.0,2,,,,2200,110,34,36442,1999-09-05,1999-07-11,,,,,,
,1999-10-09,19,28 41 05.8,24 48 16.2,5,,,,,,,,,,,,,,,
,1999-10-09,20,28 40 57.1,24 48 13.0,5,,,,,,,,,,,,,,,
,1999-10-09,23,28 40 59.9,24 48 36.5,1,G22052,"M, G, Y","R, R, Y",5000,405,78,36442,1999-07-23,1999-05-28,,,,,,
,1999-10-09,26,28 41 18.7,24 48 50.0,1,G22054,"M, G, Y","Y, G, W",4400,330,67,36442,1999-08-03,1999-06-08,,,,,,
,1999-10-09,27,28 41 04.9,24 48 58.3,1,G22055,"M, G, Y","R, G, W",5800,480,90,36442,1999-07-11,1999-05-16,,,,,,
,1999-10-09,28,28 40 57.8,24 48 58.5,3,,,,,,,,,,,,,,,
,1999-10-09,31,28 40 57.7,24 48 21.8,1,G22036,"M, G, Y","B, B, G",5200,395,76,36442,1999-07-25,1999-05-30,,,,,,
,1999-10-09,34,28 41 06.9,24 49 14.5,1,G22037,"M, G, Y","G, B, G",5000,360,72,36442,1999-07-29,1999-06-03,,,,,,
,1999-10-09,36,28 36 46.1,24 49 31.1,5,,,,,,,,,,,,,,,
,1999-10-09,37,28 37 28.4,24 50 24.3,1,G21760,"M, G, Y","W, Y, R",4850,475,89,36442,1999-07-12,1999-05-17,,,,,,
,1999-10-09,38,28 37 46.5,24 50 01.1,1,G21761,"M, G, Y","B, G, R",5400,455,85,36442,1999-07-16,1999-05-21,,,,,,
,1999-10-09,43,28 37 44.0,24 51 36.5,6,,,,,,,,,,,,,,,
,1999-10-09,50,28 39 31.3,24 49 28.8,1,G22039,"M, G, Y","R, B, G",5800,440,83,36442,1999-07-18,1999-05-23,,,,,,
,1999-10-10,51,?,?,1,G22063,"M, G, Y","Y, G, B",5500,415,79,36443,1999-07-23,1999-05-28,,,,,,
,1999-10-10,52,28 39 22.3,24 47 31.8,1,G21766,"M, G, Y","B, R, R",2700,145,39,36443,1999-09-01,1999-07-07,,,,,,
,1999-10-10,53,28 39 31.4,24 47 27.7,1,G21767,"M, G, Y","G, R, R",5600,480,90,36443,1999-07-12,1999-05-17,,,,,,
,1999-10-09,56,28 41 06.0,24 48 22.3,1,G21753,"M, G, Y","G, Y, B",4400,365,72,36442,1999-07-29,1999-06-03,,,,,,
,1999-10-09,60,28 39 38.2,24 50 02.9,1,G22040,"M, G, Y","W, B, G",4800,360,72,36442,1999-07-29,1999-06-03,,,,,,
,1999-10-09,64,28 36 51.9,24 49 51.0,5,,,,,,,,,,,,,,,
,1999-10-10,79,28 40 58.3,24 49 00.9,6,,,,,,,,,,,,,,,
,1999-10-10,84,28 39 07.7,24 48 37.5,1,G22043,"M, G, Y","Y, Y, G",4800,380,74,36443,1999-07-28,1999-06-02,,,,,,
,1999-10-09,90,28 41 21.0,24 48 42.1,1,G22053,"M, G, Y","R, B, G",5000,465,87,36442,1999-07-14,1999-05-19,,,,,,
,1999-10-10,91,28 40 18.7,24 49 24.2,5,,,,,,,,,,,,,,,
,1999-10-10,95,28 40 29.8,24 50 18.6,1,G22044,"M, G, Y","R, Y, G",4400,355,71,36443,1999-07-31,1999-06-05,,,,,,
,1999-10-10,104,28 40 33.3,24 48 57.4,1,G21755,"M, G, Y","R, Y, B",5700,480,90,36443,1999-07-12,1999-05-17,,,,,,
,1999-10-09,121,28 38 53.9,24 50 10.1,6,,,,,,,,,,,,,,,
,1999-10-09,128,28 33 08.9,24 51 09.7,1,G22041,"M, G, Y","B, Y, G",5800,480,90,36442,1999-07-11,1999-05-16,,,,,,
,1999-10-09,132,28 33 10.3,24 51 04.1,6,,,,,,,,,,,,,,,
,1999-10-09,135,28 33 16.1,24 50 50.0,6,,,,,,,,,,,,,,,
,1999-10-09,144,28 37 16.0,24 49 47.3,6,,,,,,,,,,,,,,,
,1999-10-10,145,28 37 52.0,24 49 41.3,1,G21763,"M, G, Y","Y, G, R",4300,310,64,36443,1999-08-07,1999-06-12,,,,,,
,1999-10-09,152,28 40 27.3,24 47 41.6,15,,,,,,,,,,,,,,,
,1999-10-09,155,28 37 43.1,24 51 38.2,6,,,,,,,,,,,,,,,
,1999-10-09,164,28 36 49.4,24 49 39.1,5,,,,,,,,,,,,,,,
,1999-10-09,167,28 33 56.4,24 50 38.7,5,,,,,,,,,,,,,,,
,1999-10-10,173,28 38 23.4,24 49 42.1,1,G21764,"M, G, Y","R, G, R",5500,410,79,36443,1999-07-23,1999-05-28,,,,,,
,1999-10-09,174,28 37 37.9,24 49 58.1,1,G21762,"M, G, Y","G, G, R",5600,420,80,36442,1999-07-21,1999-05-26,,,,,,
,1999-10-10,183,28 39 21.9,24 47 53.2,6,,,,,,,,,,,,,,,
,1999-10-10,188,28 39 57.1,24 48 39.9,6,,,,,,,,,,,,,,,
,1999-10-09,192,28 39 52.5,24 47 51.1,1,G21515,"M, G, Y","W, W, B",5300,440,83,36442,1999-07-18,1999-05-23,,,,,,
,1999-10-09,193,28 40 05.1,24 47 31.0,1,G21513,"M, G, Y","W, R, W",4300,355,71,36442,1999-07-30,1999-06-04,,,,,,
,1999-10-10,217,?,?,2,,,,,,,,,,,,,,,
,1999-10-10,218,28 38 35.5,24 47 24.5,1,G21765,"M, G, Y","W, G, R",,220,50,36443,1999-08-21,1999-06-26,,,,,,
,1999-10-09,219,28 38 50.1,24 49 52.3,6,,,,,,,,,,,,,,,
,1999-10-09,220,?,?,6,,,,,,,,,,,,,,,
,1999-10-09,221,28 35 33.2,24 49 39.1,1,G21759,"M, G, Y","R, Y, R",4600,440,83,36442,1999-07-18,1999-05-23,,,,,,
,1999-10-09,222,28 35 44.6,24 49 04.2,15,,,,,,,,,,,,,,,
,1999-10-09,223,?,?,1,G21758,"M, G, Y","Y, Y, R",3900,240,54,36442,1999-08-16,1999-06-21,,,,,,
,1999-10-09,224,?,?,1,G21757,"M, G, Y","G, Y, R",4400,380,74,36442,1999-07-27,1999-06-01,,,,,,
,1999-10-09,225,28 34 59.4,24 49 56.6,5,,,,,,,,,,,,,,,
,1999-10-09,226,28 34 46.3,24 49 52.8,1,G21756,"M, G, Y","B, Y, R",4400,390,76,36442,1999-07-25,1999-05-30,,,,,,
,1999-10-09,227,28 34 34.1,24 49 51.0,6,,,,,,,,,,,,,,,
,1999-10-09,228,28 33 27.9,24 50 18.4,15,,,,,,,,,,,,,,,
,1999-10-09,229,28 33 45.9,24 50 07.5,5,,,,,,,,,,,,,,,
,1999-10-09,230,28 33 54.5 ,24 50 18.4,8,,,,,,,,,,,,,,,
,1999-10-09,231,28 39 35.3,24 49 26.3,1,G22038,"M, G, Y","Y, B, G",4500,330,67,36442,1999-08-03,1999-06-08,,,,,,
,1999-10-09,232,28 38 47.4,24 50 14.4,1,G22042,"M, G, Y","G, Y, G",5200,380,74,36442,1999-07-27,1999-06-01,,,,,,
,1999-10-09,261,28 41 02.5,24 48 54.9,1,G22051,"M, G, Y","Y, R, Y",3600,240,54,36442,1999-08-16,1999-06-21,,,,,,
,1999-10-09,262,28 41 09.6,24 48 41.7,5,,,,,,,,,,,,,,,
,1999-10-09,263,28 39 55.8,24 47 42.9,1,G21514,"M, G, Y","R, W, B",4750,335,68,36442,1999-08-02,1999-06-07,,,,,,
,1999-10-09,266,28 40 15.9,24 48 52.1,1,G21754,"M, G, Y","Y, Y, B",4400,380,74,36442,1999-07-27,1999-06-01,,,,,,
,TOTALS,66,,,66,35,35,,4746,373,73,,1999-07-27,1999-06-01,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 30 to 31 October 2000 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,L top down,R top down ,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2000-10-01,5,28 38 54.4,24 47 31.2,5,,,,,,,,,,,,,,,
,2000-09-30,8,28 39 12.4,24 47 15.3,1,G22085,"M, G, B","G, Y, G",4050,340,69,36799,2000-07-23,2000-05-28,,,,,,
,2000-10-01,12,28 39 27.1,24 47 41.1,6,,,,,,,,,,,,,,,
,2000-09-30,15,28 39 54.6,24 47 23.9,1,G10466,"M, G, B","B, Y, R",4850,390,76,36799,2000-07-16,2000-05-21,,,,,,
,2000-09-30,16,28 40 04.1,24 47 49.0,5,,,,,,,,,,,,,,,
,2000-09-30,26,28 41 22.8,24 48 49.2,1,G22048,"M, G, B","Y, B, R",4250,270,59,36799,2000-08-02,2000-06-07,,,,,,
,2000-09-30,28,28 40 57.8,24 48 58.5,6,,,,,,,,,,,,,,,
,2000-09-30,29,28 40 52.9,24 49 08.9,8,,,,,,,,,,,,,,,
,2000-10-01,35,28 41 10.0,24 49 13.8,1,G22081,"M, G, B","G, B, G",3450,265,58,36800,2000-08-04,2000-06-09,,,,,,
,2000-09-30,37,28 37 28.4,24 50 24.3,6,,,,,,,,,,,,,,,
,2000-09-30,38,28 37 46.3,24 50 00.0,1,G10474,"M, G, B","B, G, Y",2900,165,42,36799,2000-08-19,2000-06-24,,,,,,
,2000-09-30,39,28 37 48.3,24 49 59.3,1,G10469,"M, G, B","G, Y, R",4100,325,66,36799,2000-07-26,2000-05-31,,,,,,
,2000-10-01,41,28 37 25.5,24 51 45.6,6,,,,,,,,,,,,,,,
,2000-10-01,48,28 39 37.0,24 49 27.3,1,G22064,"M, G, B","R, W, R",3300,210,49,36800,2000-08-13,2000-06-18,,,,,,
,2000-10-01,49,28 39 25.6,24 49 39.3,6,,,,,,,,,,,,,,,
,2000-10-01,50,28 39 31.3,24 49 28.8,1,G22065,"M, G, B","G, W, R",5400,435,82,36800,2000-07-11,2000-05-16,,,,,,
,2000-09-30,56,28 41 06.0,24 48 22.3,5,,,,,,,,,,,,,,,
,2000-10-01,58,28 39 12.3,24 50 12.5,6,,,,,,,,,,,,,,,
